capacity_bytes,date,failure,gray_n,model,serial_number,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_177_normalized,smart_177_raw,smart_179_normalized,smart_179_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_1_normalized,smart_1_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_22_normalized,smart_22_raw,smart_235_normalized,smart_235_raw,smart_23_normalized,smart_23_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_24_normalized,smart_24_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw
4000787030016,2018-04-13,0,-1,ST4000DM000,S300WEQ3,100.0,0.0,,,100.0,6.0,,,,,,,,,,,,,68.0,32.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,100.0,0.0,77.0,46748.0,32.0,32.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,112.0,49221120.0,,,,,,,,,,,,,,,,,,,,,,,100.0,23467.0,100.0,49130025096.0,100.0,95722998599.0,,,,,,,,,,,,,,,93.0,0.0,100.0,8.0,100.0,0.0,82.0,168548771.0,,,73.0,23721.0
3000592982016,2018-04-13,0,-1,WDC WD30EFRX,WD-WCC4N0951687,100.0,0.0,100.0,0.0,100.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,9.0,200.0,97.0,131.0,19.0,,,200.0,0.0,200.0,0.0,100.0,0.0,200.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,6000.0,100.0,34.0,200.0,0.0,100.0,0.0,,,54.0,34292.0
4000787030016,2018-04-13,0,-1,ST4000DM000,Z30252D6,100.0,0.0,,,100.0,9.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,96.0,4.0,80.0,20.0,100.0,0.0,100.0,0.0,71.0,59952.0,20.0,20.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,115.0,89753960.0,,,,,,,,,,,,,,,,,,,,,,,100.0,29737.0,100.0,24258059524.0,100.0,180023264888.0,,,,,,,,,,,,,,,92.0,0.0,100.0,9.0,100.0,0.0,77.0,56097584.0,,,66.0,30096.0
8001563222016,2018-04-13,0,-1,ST8000NM0055,ZA180M2E,100.0,0.0,,,100.0,2.0,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,58.0,42.0,99.0,2844.0,100.0,45.0,100.0,1571.0,42.0,42.0,83.0,223412224.0,,,100.0,0.0,100.0,0.0,200.0,0.0,83.0,223412224.0,,,,,,,,,,,,,,,,,,,,,,,100.0,6092.0,100.0,26591057168.0,100.0,35024529506.0,,,,,,,,,,,,,,,98.0,0.0,100.0,2.0,100.0,0.0,93.0,1833434723.0,,,94.0,6105.0
4000787030016,2018-04-13,0,-1,ST4000DM000,Z302ERDV,100.0,0.0,,,100.0,17.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,3.0,100.0,0.0,75.0,25.0,100.0,0.0,100.0,0.0,27.0,147021.0,25.0,25.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,118.0,199386192.0,,,,,,,,,,,,,,,,,,,,,,,100.0,27152.0,100.0,26840277023.0,100.0,241912003386.0,,,,,,,,,,,,,,,92.0,0.0,100.0,17.0,100.0,0.0,90.0,987870412.0,,,69.0,27791.0
12000138625024,2018-04-13,0,-1,ST12000NM0007,ZCH0AK48,100.0,0.0,,,100.0,2.0,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,75.0,25.0,,,100.0,25.0,100.0,240.0,25.0,25.0,81.0,124163888.0,,,100.0,0.0,100.0,0.0,200.0,0.0,81.0,124163888.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,100.0,790.0,100.0,1440736632.0,100.0,1124835966.0,,,,,,,,,,,,,,,98.0,0.0,100.0,2.0,100.0,0.0,71.0,11903538.0,,,99.0,891.0
12000138625024,2018-04-13,0,-1,ST12000NM0007,ZCH076GG,100.0,0.0,,,100.0,2.0,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,71.0,29.0,,,100.0,33.0,100.0,408.0,29.0,29.0,77.0,49743104.0,,,100.0,0.0,100.0,0.0,200.0,0.0,77.0,49743104.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,100.0,4208.0,100.0,35602091808.0,100.0,45746545782.0,,,,,,,,,,,,,,,97.0,0.0,100.0,3.0,100.0,0.0,88.0,591802192.0,,,96.0,4333.0
8001563222016,2018-04-13,0,-1,ST8000NM0055,ZA180YMH,100.0,0.0,,,100.0,1.0,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,63.0,37.0,97.0,7304.0,100.0,33.0,100.0,1388.0,37.0,37.0,84.0,234085792.0,,,100.0,0.0,100.0,0.0,200.0,0.0,84.0,234085792.0,,,,,,,,,,,,,,,,,,,,,,,100.0,5445.0,100.0,24365055216.0,100.0,30149971190.0,,,,,,,,,,,,,,,99.0,0.0,100.0,1.0,100.0,0.0,92.0,1556269162.0,,,94.0,5456.0
4000787030016,2018-04-13,0,-1,ST4000DM000,Z305KVH5,100.0,0.0,,,100.0,3.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,100.0,0.0,99.0,3985.0,25.0,25.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,120.0,239622360.0,,,,,,,,,,,,,,,,,,,,,,,100.0,18168.0,100.0,35386261384.0,100.0,78511145434.0,,,,,,,,,,,,,,,97.0,0.0,100.0,3.0,100.0,0.0,89.0,812129035.0,,,80.0,18220.0
8001563222016,2018-04-07,0,-1,ST8000DM002,ZA13ZRZF,100.0,0.0,,,100.0,5.0,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,99.0,3336.0,100.0,2.0,97.0,7765.0,28.0,28.0,1.0,50863728.0,,,100.0,0.0,100.0,0.0,200.0,0.0,77.0,50863728.0,,,,,,,,,,,,,,,,,,,,,,,100.0,10577.0,100.0,41929918648.0,100.0,71566697136.0,,,,,,,,,,,,,,,90.0,0.0,100.0,5.0,100.0,0.0,93.0,2181766245.0,,,88.0,10633.0
