capacity_bytes,date,failure,model,serial_number,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_177_normalized,smart_177_raw,smart_179_normalized,smart_179_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_1_normalized,smart_1_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_22_normalized,smart_22_raw,smart_235_normalized,smart_235_raw,smart_23_normalized,smart_23_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_24_normalized,smart_24_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw
4000787030016,2018-01-09,1,HGST HMS5C4040BLE640,PL1331LAHD1EDH,100.0,0.0,,,100.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,3.0,100.0,3.0,230.0,26.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.0,101.0,100.0,0.0,100.0,3.0,100.0,0.0,100.0,0.0,113.0,42.0,99.0,13942.0
8001563222016,2018-01-09,1,ST8000NM0055,ZA180ZZH,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,,,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,62.0,38.0,99.0,3017.0,100.0,8.0,100.0,1116.0,38.0,38.0,82.0,170245568.0,,,100.0,0.0,100.0,0.0,200.0,0.0,82.0,170245568.0,,,,,,,,,,,,,,,,,,,,,,,100.0,3630.0,100.0,26039561744.0,100.0,30890545398.0,,,,,,,,,,,,,,,95.0,0.0,100.0,4.0,100.0,1448.0,88.0,629511141.0,,,96.0,3667.0
4000787030016,2018-01-08,1,ST4000DM000,Z3029ATJ,100.0,0.0,,,100.0,6.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,100.0,0.0,96.0,8394.0,27.0,27.0,,,,,100.0,112.0,100.0,112.0,200.0,0.0,111.0,35809064.0,,,,,,,,,,,,,,,,,,,,,,,100.0,27006.0,100.0,23306293042.0,100.0,167510396644.0,,,,,,,,,,,,,,,94.0,0.0,100.0,6.0,100.0,0.0,85.0,13882883501.0,,,70.0,27050.0
4000787030016,2018-01-08,1,ST4000DM000,Z305BAT9,100.0,0.0,,,100.0,5.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,100.0,0.0,99.0,3807.0,22.0,22.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,112.0,44550520.0,,,,,,,,,,,,,,,,,,,,,,,100.0,16949.0,100.0,38414686728.0,100.0,58775214818.0,,,,,,,,,,,,,,,95.0,0.0,100.0,5.0,100.0,0.0,88.0,787878293.0,,,81.0,17022.0
12000138625024,2018-01-08,1,ST12000NM0007,ZCH0CJHM,100.0,0.0,,,100.0,8.0,,,,,,,,,,,,,,,,,100.0,0.0,100.0,21475164165.0,,,74.0,26.0,,,100.0,5.0,100.0,502.0,26.0,26.0,75.0,28462840.0,,,100.0,0.0,100.0,0.0,200.0,79.0,75.0,28462840.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,100.0,76.0,100.0,696141608.0,100.0,308935942.0,,,,,,,,,,,,,,,90.0,0.0,100.0,8.0,100.0,0.0,65.0,3012471.0,,,100.0,339.0
4000787030016,2018-01-08,1,ST4000DM000,W300AS94,100.0,0.0,,,100.0,14.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.0,1.0,71.0,29.0,100.0,0.0,100.0,3.0,31.0,138681.0,29.0,29.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,117.0,159595368.0,,,,,,,,,,,,,,,,,,,,,,,100.0,39343.0,100.0,29854884570.0,100.0,180728618969.0,,,,,,,,,,,,,,,91.0,0.0,100.0,14.0,100.0,0.0,69.0,60284318798.0,,,55.0,39896.0
4000787030016,2018-06-01,1,ST4000DM000,Z305C1W5,100.0,0.0,,,100.0,6.0,,,,,,,,,,,,,98.0,2.0,100.0,0.0,48.0,52.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,98.0,4197.0,21.0,21.0,,,,,100.0,32.0,100.0,32.0,200.0,0.0,117.0,158394088.0,,,,,,,,,,,,,,,,,,,,,,,100.0,20399.0,100.0,39305137224.0,100.0,74192395071.0,,,,,,,,,,,,,,,92.0,0.0,100.0,8.0,100.0,8.0,89.0,936716109.0,,,77.0,20509.0
4000787030016,2018-06-01,1,ST4000DM000,Z305D6P3,100.0,0.0,,,100.0,7.0,,,,,,,,,,,,,98.0,2.0,100.0,0.0,84.0,16.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,83.0,34630.0,18.0,18.0,,,,,99.0,296.0,99.0,296.0,200.0,0.0,117.0,157572752.0,,,,,,,,,,,,,,,,,,,,,,,100.0,21323.0,100.0,39742041344.0,100.0,77331689400.0,,,,,,,,,,,,,,,93.0,0.0,100.0,7.0,100.0,80.0,90.0,974272352.0,,,76.0,21578.0
4000787030016,2018-06-01,1,ST4000DM000,W3019Q2H,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,11.0,100.0,0.0,215.0,141.0,100.0,0.0,100.0,0.0,31.0,139143.0,141.0,141.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,90.0,62734560.0,,,,,,,,,,,,,,,,,,,,,,,100.0,2561.0,100.0,7904183942.0,100.0,10874358010.0,,,,,,,,,,,,,,,96.0,0.0,100.0,4.0,96.0,5592.0,60.0,124583832195.0,,,97.0,3338.0
4000787030016,2018-06-01,1,ST4000DM000,Z300GQ80,100.0,0.0,,,100.0,17.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,84.0,16.0,100.0,0.0,93.0,7.0,73.0,27.0,100.0,0.0,100.0,4.0,69.0,63979.0,27.0,27.0,,,,,98.0,456.0,98.0,456.0,200.0,0.0,119.0,203697736.0,,,,,,,,,,,,,,,,,,,,,,,100.0,42503.0,100.0,34930528348.0,100.0,330134314890.0,,,,,,,,,,,,,,,91.0,0.0,100.0,17.0,100.0,0.0,86.0,414058099.0,,,52.0,42759.0
12000138625024,2018-06-01,1,ST12000NM0007,ZCH06LS6,100.0,0.0,,,100.0,2.0,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,65.0,35.0,,,100.0,17.0,100.0,1242.0,35.0,35.0,77.0,56153656.0,,,100.0,0.0,100.0,0.0,200.0,0.0,77.0,56153656.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,100.0,3534.0,100.0,26879349312.0,100.0,34456157226.0,,,,,,,,,,,,,,,97.0,0.0,100.0,3.0,100.0,0.0,86.0,441715920.0,,,96.0,4087.0
4000787030016,2018-06-15,1,HGST HMS5C4040BLE640,PL1331LAHD3KGH,100.0,0.0,,,100.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,99.0,100.0,99.0,200.0,30.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.0,102.0,137.0,533.0,100.0,20.0,100.0,0.0,100.0,0.0,113.0,42.0,99.0,12717.0
6001175126016,2018-06-15,1,WDC WD60EFRX,WD-WX41D94RN2LD,100.0,0.0,100.0,0.0,100.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,1.0,200.0,1045.0,127.0,25.0,,,200.0,0.0,200.0,2.0,100.0,0.0,200.0,0.0,199.0,52.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.0,8383.0,100.0,11.0,200.0,0.0,100.0,0.0,,,60.0,29900.0
4000787030016,2018-06-15,1,ST4000DM000,Z302520G,100.0,0.0,,,100.0,11.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,96.0,4.0,100.0,0.0,96.0,4.0,78.0,22.0,100.0,0.0,100.0,0.0,76.0,48932.0,22.0,22.0,,,,,1.0,16384.0,1.0,16384.0,200.0,0.0,113.0,55716264.0,,,,,,,,,,,,,,,,,,,,,,,100.0,31932.0,100.0,25639633743.0,100.0,283478075530.0,,,,,,,,,,,,,,,92.0,0.0,100.0,11.0,91.0,11784.0,86.0,441594099.0,,,64.0,32335.0
8001563222016,2018-06-15,1,ST8000NM0055,ZA180RAD,100.0,0.0,,,100.0,8.0,,,,,,,,,,,,,,,100.0,0.0,96.0,4.0,100.0,0.0,100.0,0.0,64.0,36.0,98.0,4138.0,100.0,10.0,97.0,6068.0,36.0,36.0,79.0,71114504.0,,,100.0,8.0,100.0,8.0,200.0,0.0,79.0,71114504.0,,,,,,,,,,,,,,,,,,,,,,,100.0,8111.0,100.0,33441400248.0,100.0,61349222380.0,,,,,,,,,,,,,,,89.0,0.0,100.0,8.0,100.0,40.0,92.0,1634293058.0,,,91.0,8136.0
4000787030016,2018-06-15,1,ST4000DM000,Z3040E7A,100.0,0.0,,,100.0,10.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,59.0,83776.0,21.0,21.0,,,,,97.0,632.0,97.0,632.0,200.0,0.0,117.0,149100424.0,,,,,,,,,,,,,,,,,,,,,,,100.0,23801.0,100.0,16671736256.0,100.0,105249058467.0,,,,,,,,,,,,,,,91.0,0.0,100.0,10.0,100.0,0.0,75.0,36537645.0,,,73.0,24105.0
6001175126016,2018-08-10,1,WDC WD60EFRX,WD-WX41D94RN65K,100.0,0.0,100.0,0.0,100.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,0.0,200.0,1091.0,127.0,25.0,,,200.0,0.0,200.0,2.0,100.0,0.0,200.0,0.0,198.0,97.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,8858.0,100.0,12.0,200.0,0.0,100.0,0.0,,,58.0,31244.0
8001563222016,2018-08-10,1,ST8000DM002,ZA13R2XW,100.0,0.0,,,100.0,6.0,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,67.0,33.0,96.0,8075.0,100.0,1.0,94.0,12217.0,33.0,33.0,23.0,188970560.0,,,100.0,0.0,100.0,0.0,200.0,0.0,63.0,188970560.0,,,,,,,,,,,,,,,,,,,,,,,100.0,14831.0,100.0,49187992896.0,100.0,83328588336.0,,,,,,,,,,,,,,,89.0,0.0,100.0,6.0,100.0,2772.0,96.0,3601486878.0,,,84.0,14866.0
4000787030016,2018-08-10,1,ST4000DM000,Z3031HQY,100.0,0.0,,,100.0,19.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,2.0,100.0,0.0,76.0,24.0,100.0,0.0,100.0,0.0,45.0,111620.0,24.0,24.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,119.0,217822000.0,,,,,,,,,,,,,,,,,,,,,,,100.0,25010.0,100.0,23496349705.0,100.0,232433401531.0,,,,,,,,,,,,,,,91.0,0.0,100.0,19.0,100.0,0.0,72.0,20857657.0,,,71.0,25532.0
