date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_22_normalized,smart_22_raw,smart_177_normalized,smart_177_raw,smart_179_normalized,smart_179_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw
2018-03-12,ZA21AE5D,ST10000NM0086,10000831348736,0,80.0,107918088.0,,,99.0,0.0,100.0,2.0,100.0,0.0,88.0,683870296.0,,,96.0,4207.0,100.0,0.0,,,100.0,1.0,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,93.0,7.0,75.0,25.0,89.0,22557.0,100.0,23.0,100.0,316.0,25.0,25.0,80.0,107918088.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,100.0,4143.0,100.0,31947077464.0,100.0,41801624678.0,,,,,,,,,,
2018-02-22,ZCH06H49,ST12000NM0007,12000138625024,0,73.0,20020760.0,,,98.0,0.0,100.0,2.0,100.0,0.0,86.0,411434951.0,,,97.0,2812.0,100.0,0.0,,,100.0,1.0,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,71.0,29.0,,,100.0,9.0,100.0,245.0,29.0,29.0,73.0,20020760.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,100.0,2752.0,100.0,29921198976.0,100.0,32110596596.0,,,,,,,,,,
2018-01-10,Z304JHVS,ST4000DM000,4000787030016,0,117.0,157253952.0,,,92.0,0.0,100.0,9.0,100.0,0.0,89.0,917664516.0,,,78.0,19275.0,100.0,0.0,,,100.0,9.0,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,100.0,1.0,96.0,9006.0,23.0,23.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,100.0,19212.0,100.0,41997484592.0,100.0,71634432053.0,,,,,,,,,,
2018-03-20,ZA180QZV,ST8000NM0055,8001563222016,0,78.0,62564096.0,,,91.0,0.0,100.0,7.0,100.0,0.0,90.0,1110794930.0,,,94.0,6031.0,100.0,0.0,,,100.0,7.0,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,55.0,45.0,98.0,4561.0,100.0,12.0,99.0,2802.0,45.0,45.0,78.0,62564096.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,100.0,6016.0,100.0,28953509872.0,100.0,47515619638.0,,,,,,,,,,
2018-03-24,ZCH080HC,ST12000NM0007,12000138625024,0,73.0,18387512.0,,,98.0,0.0,100.0,2.0,100.0,0.0,83.0,181863626.0,,,98.0,2553.0,100.0,0.0,,,100.0,1.0,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,66.0,34.0,,,100.0,40.0,100.0,798.0,34.0,34.0,73.0,18387512.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,100.0,2274.0,100.0,17097130848.0,100.0,1964265988.0,,,,,,,,,,
2018-01-07,Z3029FKM,ST4000DM000,4000787030016,0,119.0,224837880.0,,,92.0,0.0,100.0,9.0,100.0,0.0,79.0,96117045.0,,,71.0,26137.0,100.0,0.0,,,100.0,9.0,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,1.0,100.0,0.0,76.0,24.0,100.0,0.0,100.0,0.0,75.0,51592.0,24.0,24.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,100.0,25769.0,100.0,24817505305.0,100.0,238571799583.0,,,,,,,,,,
2018-01-09,ZA11V09B,ST8000DM002,8001563222016,0,78.0,63830672.0,,,92.0,0.0,100.0,4.0,100.0,0.0,95.0,7424725974.0,,,85.0,13485.0,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,94.0,13479.0,100.0,2.0,99.0,3480.0,23.0,23.0,1.0,63830672.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,100.0,13473.0,100.0,52118118544.0,100.0,64712552958.0,,,,,,,,,,
2018-01-11,S30117RW,ST4000DM000,4000787030016,0,106.0,11744320.0,,,95.0,0.0,100.0,5.0,100.0,0.0,82.0,178772471.0,,,73.0,23981.0,100.0,0.0,,,100.0,5.0,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,100.0,0.0,82.0,36061.0,22.0,22.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,100.0,23803.0,100.0,49994828272.0,100.0,71894295415.0,,,,,,,,,,
2018-02-24,Z30160KF,ST4000DM000,4000787030016,0,116.0,100859832.0,,,91.0,0.0,100.0,33.0,100.0,0.0,88.0,744644485.0,,,61.0,34983.0,100.0,0.0,,,100.0,33.0,,,,,,,,,,,,,,,99.0,1.0,100.0,0.0,100.0,0.0,100.0,1.0,73.0,27.0,79.0,21.0,100.0,0.0,100.0,18.0,51.0,98485.0,21.0,21.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,100.0,34361.0,100.0,27224476289.0,100.0,417396342582.0,,,,,,,,,,
2018-03-26,ZCH0CBX6,ST12000NM0007,12000138625024,0,83.0,189314712.0,,,99.0,0.0,100.0,1.0,100.0,0.0,83.0,217438930.0,,,99.0,1567.0,100.0,0.0,,,100.0,1.0,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,67.0,33.0,,,100.0,9.0,100.0,301.0,33.0,33.0,83.0,189314712.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,100.0,1467.0,100.0,19460112160.0,100.0,19059379300.0,,,,,,,,,,
